# Cosmological models (1 per line)
#
# Columns
#model  omega_m omega_b s8       h       ns      w0       wa       omega_nu
#
E001    0.1433  0.02228  0.8389  0.7822  0.9667  -0.8000  -0.0111  0.008078
E002    0.1333  0.02170  0.8233  0.7444  0.9778  -1.1560  -1.1220  0.005311
E003    0.1450  0.02184  0.8078  0.6689  0.9000  -0.9333  -0.5667  0.003467
E009    0.1417  0.02300  0.7767  0.7256  0.9222  -0.8444   0.8222  0.004389
E010    0.1317  0.02242  0.7611  0.6878  0.9333  -1.2000  -0.2889  0.001622
E004    0.1367  0.02271  0.8544  0.8200  0.9444  -0.8889  -1.4000  0.002544
E005    0.1400  0.02257  0.7300  0.7067  0.9889  -0.9778  -0.8444  0.009000
E006    0.1350  0.02213  0.8700  0.7633  0.9111  -1.0220   0.5444  0.000700
E007    0.1383  0.02199  0.7456  0.6500  0.9556  -1.1110   1.1000  0.007156
E008    0.1300  0.02286  0.7922  0.8011  1.0000  -1.0670   0.2667  0.006233
